,Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
0,10027790.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dal', 'radish', 'pears', 'cheese', 'rabbit']",6,Yes
4,10079292.pdf,"['protein', 'fat']",2,"['gram', 'calf', 'rabbit']",3,Yes
5,10082778.pdf,"['protein', 'ash']",2,"['oil', 'dal', 'gram', 'pears', 'moth', 'milk', 'milk']",7,Yes
6,10085258.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'pears', 'rabbit']",3,Yes
7,10098731.pdf,"['protein', 'ash']",2,"['gram', 'moth', 'calf']",3,Yes
8,10099007.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['rice', 'crab']",2,Yes
9,10197414.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'soya', 'radish', 'meat', 'rabbit']",5,Yes
11,10219088.pdf,['protein'],1,"['oil', 'rice']",2,Yes
12,10222387.pdf,"['protein', 'energy']",2,"['gram', 'milk', 'milk']",3,Yes
13,10325428.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'gram']",2,Yes
16,10328460.pdf,"['protein', 'ash']",2,"['mace', 'ragi', 'pears']",3,Yes
18,10340664.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mint', 'gram', 'mint', 'meat', 'moth', 'milk', 'milk', 'sheep', 'beef', 'pork']",11,Yes
19,10340675.pdf,['ash'],1,"['oil', 'mint', 'rice', 'mint', 'calf']",5,Yes
21,10357743.pdf,"['protein', 'ash', 'fat']",3,"['butter', 'gram', 'moth', 'milk', 'milk']",5,Yes
22,10361865.pdf,"['ash', 'fat']",2,"['gram', 'pears', 'rabbit']",3,Yes
24,10364568.pdf,"['protein', 'ash']",2,"['gram', 'squid', 'pears', 'meat', 'calf']",5,Yes
25,10375515.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'egg', 'gram', 'radish', 'pears', 'goat', 'rabbit']",8,Yes
26,10384106.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'gram', 'radish', 'pears', 'milk', 'milk']",7,Yes
28,10393137.pdf,['ash'],1,"['butter', 'oil', 'orange', 'meat', 'milk', 'milk', 'tuna']",7,Yes
29,10402446.pdf,"['fat', 'energy']",2,"['gram', 'pears', 'calf']",3,Yes
30,10406468.pdf,"['protein', 'ash']",2,"['chicken', 'gram', 'fish', 'moth', 'yolk']",5,Yes
31,10417364.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'rice', 'gram', 'pears', 'tuna']",5,Yes
32,10423239.pdf,['protein'],1,"['radish', 'pears', 'peanut', 'peanut']",4,Yes
34,10433917.pdf,"['protein', 'ash']",2,"['chicken', 'dal', 'egg', 'gram', 'yolk', 'calf']",6,Yes
35,10435001.pdf,"['protein', 'ash']",2,"['mace', 'calf']",2,Yes
36,10467952.pdf,"['ash', 'fat']",2,"['oil', 'mace', 'corn', 'pears', 'meat', 'ginger', 'rabbit']",7,Yes
38,10494503.pdf,['protein'],1,"['mint', 'gram', 'mint', 'fish']",4,Yes
39,10495786.pdf,"['protein', 'ash']",2,"['ragi', 'bean', 'pears', 'calf', 'rabbit', 'tuna']",6,Yes
40,10496677.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'gram', 'pears']",3,Yes
41,10498756.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'ragi', 'gram', 'corn', 'moth', 'cheese']",6,Yes
42,10499087.pdf,['protein'],1,"['dal', 'rice']",2,Yes
44,10512558.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'mint', 'orange', 'mace', 'gram', 'lamb', 'mint', 'meat', 'fenugreek', 'moth', 'milk', 'milk', 'beef']",13,Yes
45,10512561.pdf,"['ash', 'fat']",2,"['gram', 'tuna']",2,Yes
46,10512564.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['butter', 'dal', 'ragi', 'dates', 'gram', 'corn', 'avocado', 'potatoes', 'meat', 'moth', 'potato', 'peanut', 'cheese', 'coconut', 'peanut']",15,Yes
47,10518991.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'ragi', 'chilli', 'dates', 'gram', 'pears', 'tinda']",7,Yes
48,10521251.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'dates', 'gram']",3,Yes
49,10521530.pdf,"['protein', 'ash']",2,"['dal', 'gram', 'spinach', 'pears']",4,Yes
50,10532446.pdf,"['protein', 'ash']",2,"['dal', 'gram', 'meat', 'calf']",4,Yes
52,10545521.pdf,"['protein', 'ash']",2,"['dal', 'rice', 'gram']",3,Yes
53,10552490.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'urad', 'dal', 'wheat', 'spinach', 'meat', 'fish', 'milk', 'milk', 'lime', 'beef']",11,Yes
54,10552839.pdf,"['protein', 'ash', 'fat']",3,"['grapes', 'dal', 'seeds']",3,Yes
55,10552878.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['oil', 'dal', 'rice', 'wheat', 'gram', 'fish', 'seeds']",7,Yes
57,10584039.pdf,"['ash', 'fat']",2,"['dal', 'egg', 'rice', 'wheat', 'gram', 'pears', 'milk', 'milk']",8,Yes
58,10586038.pdf,"['protein', 'ash']",2,"['gram', 'rabbit', 'salmon']",3,Yes
59,10589685.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'calf', 'rabbit']",3,Yes
60,10592130.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'gram', 'meat', 'fish', 'moth', 'milk', 'milk', 'seafood', 'sugar', 'lime', 'beef']",11,Yes
