Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
10027790.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dal', 'radish', 'pears', 'cheese', 'rabbit']",6,Yes
10029227.pdf,[],0,"['dal', 'pears']",2,No
10065594.pdf,[],0,[],0,No
10071493.pdf,"['ash', 'fat']",2,['sugar'],1,Yes
10079292.pdf,"['protein', 'fat']",2,"['gram', 'calf', 'rabbit']",3,Yes
10082778.pdf,"['protein', 'ash']",2,"['oil', 'dal', 'gram', 'pears', 'moth', 'milk', 'milk']",7,Yes
10085258.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'pears', 'rabbit']",3,Yes
10098731.pdf,"['protein', 'ash']",2,"['gram', 'moth', 'calf']",3,Yes
10099007.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['rice', 'crab']",2,Yes
10197414.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'soya', 'radish', 'meat', 'rabbit']",5,Yes
10208656.pdf,[],0,[],0,No
10219088.pdf,['protein'],1,"['oil', 'rice']",2,Yes
10222387.pdf,"['protein', 'energy']",2,"['gram', 'milk', 'milk']",3,Yes
10325428.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'gram']",2,Yes
10327021.pdf,[],0,[],0,No
10327028.pdf,[],0,[],0,No
10328460.pdf,"['protein', 'ash']",2,"['mace', 'ragi', 'pears']",3,Yes
10334327.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,['dal'],1,Yes
10340664.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mint', 'gram', 'mint', 'meat', 'moth', 'milk', 'milk', 'sheep', 'beef', 'pork']",11,Yes
10340675.pdf,['ash'],1,"['oil', 'mint', 'rice', 'mint', 'calf']",5,Yes
10340768.pdf,"['protein', 'fat']",2,['lime'],1,Yes
10357743.pdf,"['protein', 'ash', 'fat']",3,"['butter', 'gram', 'moth', 'milk', 'milk']",5,Yes
10361865.pdf,"['ash', 'fat']",2,"['gram', 'pears', 'rabbit']",3,Yes
10361890.pdf,[],0,[],0,No
10364568.pdf,"['protein', 'ash']",2,"['gram', 'squid', 'pears', 'meat', 'calf']",5,Yes
10375515.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'egg', 'gram', 'radish', 'pears', 'goat', 'rabbit']",8,Yes
10384106.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'gram', 'radish', 'pears', 'milk', 'milk']",7,Yes
10386552.pdf,"['fat', 'energy']",2,['gram'],1,Yes
10393137.pdf,['ash'],1,"['butter', 'oil', 'orange', 'meat', 'milk', 'milk', 'tuna']",7,Yes
10402446.pdf,"['fat', 'energy']",2,"['gram', 'pears', 'calf']",3,Yes
10406468.pdf,"['protein', 'ash']",2,"['chicken', 'gram', 'fish', 'moth', 'yolk']",5,Yes
10417364.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'rice', 'gram', 'pears', 'tuna']",5,Yes
10423239.pdf,['protein'],1,"['radish', 'pears', 'peanut', 'peanut']",4,Yes
10433344.pdf,[],0,[],0,No
10433917.pdf,"['protein', 'ash']",2,"['chicken', 'dal', 'egg', 'gram', 'yolk', 'calf']",6,Yes
10435001.pdf,"['protein', 'ash']",2,"['mace', 'calf']",2,Yes
10467952.pdf,"['ash', 'fat']",2,"['oil', 'mace', 'corn', 'pears', 'meat', 'ginger', 'rabbit']",7,Yes
10468164.pdf,[],0,[],0,No
10494503.pdf,['protein'],1,"['mint', 'gram', 'mint', 'fish']",4,Yes
10495786.pdf,"['protein', 'ash']",2,"['ragi', 'bean', 'pears', 'calf', 'rabbit', 'tuna']",6,Yes
10496677.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'gram', 'pears']",3,Yes
10498756.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'ragi', 'gram', 'corn', 'moth', 'cheese']",6,Yes
10499087.pdf,['protein'],1,"['dal', 'rice']",2,Yes
10510579.pdf,[],0,[],0,No
10512558.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'mint', 'orange', 'mace', 'gram', 'lamb', 'mint', 'meat', 'fenugreek', 'moth', 'milk', 'milk', 'beef']",13,Yes
10512561.pdf,"['ash', 'fat']",2,"['gram', 'tuna']",2,Yes
10512564.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['butter', 'dal', 'ragi', 'dates', 'gram', 'corn', 'avocado', 'potatoes', 'meat', 'moth', 'potato', 'peanut', 'cheese', 'coconut', 'peanut']",15,Yes
10518991.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'ragi', 'chilli', 'dates', 'gram', 'pears', 'tinda']",7,Yes
10521251.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'dates', 'gram']",3,Yes
10521530.pdf,"['protein', 'ash']",2,"['dal', 'gram', 'spinach', 'pears']",4,Yes
10532446.pdf,"['protein', 'ash']",2,"['dal', 'gram', 'meat', 'calf']",4,Yes
10535523.pdf,[],0,[],0,No
10545521.pdf,"['protein', 'ash']",2,"['dal', 'rice', 'gram']",3,Yes
10552490.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'urad', 'dal', 'wheat', 'spinach', 'meat', 'fish', 'milk', 'milk', 'lime', 'beef']",11,Yes
10552839.pdf,"['protein', 'ash', 'fat']",3,"['grapes', 'dal', 'seeds']",3,Yes
10552878.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['oil', 'dal', 'rice', 'wheat', 'gram', 'fish', 'seeds']",7,Yes
10580364.pdf,[],0,[],0,No
10584039.pdf,"['ash', 'fat']",2,"['dal', 'egg', 'rice', 'wheat', 'gram', 'pears', 'milk', 'milk']",8,Yes
10586038.pdf,"['protein', 'ash']",2,"['gram', 'rabbit', 'salmon']",3,Yes
10589685.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'calf', 'rabbit']",3,Yes
