Id,Text,Nutrients,Foods,Enhance,Inhibit,Label
10433917.pdf,5  dpc  embryoscarrying the SV40/lacZ/3 En and - 09E3/lacZ/3 En transgenes In the light of recent evidencethat  SCL is  expressed  in  the  haemangioblast    our  data  raise  the  possibility  that  the  SCL 3 enhancerdirects  expression  to  mesodermal  cells  as  they  are  activatingthe  transcriptional  programmes  necessary  for  haematopoieticand endothelial differentiationlacZto  enhancer in yolk sacActivation of the 3endothelium is independent of SCL proteinAuto  regulation  is  a  strategy  utilised  by  a  number  of  keydevelopmental regulators  In order to investigate whether SCL protein is necessaryfor activity of the 3 En transgene was bred into an SCL- /- background,protein,yolk,"raise, enhance",,0
10433917.pdf,"  These  results  are  consistent  with  ourimmunophenotype  data  and  directly  demonstrate  that  the+6E5/lacZ/3 En construct targeted lacZ expression to the vastmajority of primitive multipotent progenitorsDISCUSSIONIn this paper we have identied an SCL 3 enhancer which directsexpression to blood and endothelium throughout development,and which targets early haemopoietic progenitors A common origin for blood and endotheliumA close developmental link between blood and endothelium haslong been recognised It is particularly evident in the yolk sacblood islands in which blood and endothelial cells arise at thesame  time   Within the embryo proper, haematopoiesis also occurs inclose association with endothelium in chicken , mouse  and man ",,"yolk, chicken",enhance,,1
10433917.pdf," Our results demonstratethat  activity  of  the  3 enhancer  was  not  dependent  on  thepresence of SCL protein This observation is similar to previousdata which demonstrate that GATA-1 protein was not requiredfor  activation  of  GATA-1  expression  ,despite  previous  evidence  for  autoregulation  of  GATA-1However, in contrast to the GATA-1 results, the number of cellsexpressing  the  +6E5/lacZ/3 En  transgene  was  substantiallyincreased in a SCL- /- background This observation suggests thatSCL  may  negatively  regulate  its  own  expression  in  yolk  sacmesoderm and/or endothelium However our data do not excludethe possibility that mesoderm or endothelial differentiation maybe altered in SCL- /- yolk sacs with a consequent expansion ofcells in which the transgene is particularly active",protein,yolk,enhance,,0
10521530.pdf," The Rieske proteincatalyzes the oxidation of plastoquinol at the Q site close toothe  lumenal  membrane  face,  leading  to  bifurcated  electrontransfer  along  both  a  high-potential  chain   and a low-poten-ftial chain   Related  cyto-chrome  complexes are part of mitochondrial and bacte-rial respiratory chains High-resolution structures have beendetermined for the soluble domains of the bovine mitochon-drial    and  spinach  chloroplast   Rieske proteins and show generally similar organi-zation  Recent  x-ray  crystal  structures  of  these  complexeshave shown that the Rieske protein comprises a soluble do-main  tethered  by  a  flexible  region  to  a  transmembrane  an-chor The soluble domain occupied different positions in  com-plexes  that  were  cocrystallized  with  inhibitors,  which  sug-gests  a  unique  domain  movement  during  catalysis  ",protein,spinach,,inhibit,1
10552490.pdf," According to theWHO, it is at present the second most significantproblem of Public Health, only surpassed by energy-protein deficiencyThe nutritional importance of iron is universallyrecognized; it is essential for crucial metabolic functionssuch as the transport of O2 in the bloodstream and forthe redox processes of the respiratory system Although the main feature of the metabolism of ironis its continual reutilization, levels of Fe are alsoinfluenced by physiological and dietary factors  The main factors contributing to the absorptionof nonheme iron are proteins derived from animaltissues such as meat, poultry, and fish  and ascorbic acid Among the inhibitors of absorption are phytates, polyphenols , and minerals such as zinc ,manganese , copper ,and calcium ","energy, protein","fish, meat",,inhibit,1
10552878.pdf," Food Chem 1999, 47, 4714- 4717An in Vitro Study of Wheat Bran Binding Capacity for Hg, Cd, andPbShiyi Ou,*, Kongrong Gao,, and Yan LiResearch Center of Food Science and Technology, Jinan University, Guangzhou 510632,Peoples Republic of China, and College of Food Science and Engineering, South China University ofTechnology, Guangzhou 510641, Peoples Republic of ChinaWater-soluble dietary fiber , water-insoluble dietary fiber  from wheat bran, andthe carboxymethylated product of WIDF , all having low contents of protein, ash, and phyticacid, were evaluated for their scavenging capacity for three heavy metals, Hg, Cd, and Pb Theresults showed that WIDF had higher BCmax  andBCmin values  than WSDF at two pH conditions  Carboxymethylation of WIDFimproved its binding capacity for heavy metals  The pHvalue significantly affected the binding capacity for heavy metals; BCmax sharply increased andBCmin sharply decreased for each heavy metal ion for all of the dietary fibers when the pH wasraised from 2",protein,wheat,raise,,1
10656473.pdf," Prices are given in predecimalization coinage; 1 oz =284 gBacon and hamCheeseButterMargarineCooking fatsMeatEggsTeaSugarChocolate/sweets5 oz per week2 oz per week4 oz or 6 oz per alternating week4 oz per week2 oz per week1 shilling 4 pence carcase meat plus 4 pence corned beef per week*125 allocations per year 25 oz per week 8 oz per week20 oz per 4 weeks*Children under 5 years received half rations of meat The price of fresh meat was around 1 shilling 10 pence perlb, and corned beef 1 shilling 4 pence per lb 2, so the actual ration for the under ves was 6 oz  2 oz per weekBreadTo save on imports during the war, the extraction rateof our had been raised to 85% ,but it was lowered to 80% on 27 August 1950",,"beef, meat",raise,,1
10706690.pdf," Because the COX-2 and IL-1b  promoters both contain a CRE, we wonderedwhether MSK1 might be present in macrophages and play a role inmediating the induction of COX-2 and IL-1b If this were the case,then MSK1 could be a potential target for an antiinammatorydrug In this paper, we show that MSK1, and a closely relatedisoform , are both activated when macrophages are stim-ulated with LPS We also show that drugs that suppress the acti-vation or activity of MSK1 and MSK2 prevent the LPS-inducedphosphorylation of CREB and ATF1, the transcription of theCOX-2 and IL-1b genes, and the induction of the COX-2 proteinMaterials and MethodsMaterialsReagents and antibiotics for cell culture were purchased from Life Tech-nologies ; PD 98059 from New England Biolabs ; Ro 318220, H89, and SB 203580 from Calbiochem ; forskolin and 3-isobutyl-1-methylxanthine  from Sigma; complete proteinase inhibitor mixture from Boehringer; afnity-puried polyclonal goat anti-COX-2 Ab and amonoclonal mouse anti-C/EBPb Ab from Santa Cruz Biotechnology ; afnity-puried polyclonal rabbit anti-phospho-CREB fromUpstate Biotechnology ; [g-32P]ATP and enhancedchemiluminescence  reagent from Amersham Pharmacia Biotech, RNeasy Mini Kit from Qiagen ; and the access RT-PCR System from Promega ",,"rabbit, goat",enhance,"suppress, inhibit",0
10720169.pdf," Our new method was developed by thefollowing three steps First, we analyzed foods and nutrients whichmay affect the residuals from analyses of the three methods discussedabove We included intake levels of food from animals, ascorbic acid,vegetables and fruits, rice, beans, tea, and some other foods andnutrients as determinants of the residualSecond, we divided the factors which affected the residuals intotwo groups based on regression analysis between estimated iron bio-availability, Hb status, and these factors We found as expected thatfood from animal sources and ascorbic acid enhanced nonheme ironbioavailability but also that fruit and vegetable intake acted as afurther enhancer of nonheme iron bioavailability",,"beans, rice",enhance,,1
10720169.pdf," In addition, notonly did tea consumption inhibit iron bioavailability, but also riceand bean consumption had a similar inhibiting effect on nonhemeiron bioavailabilityThird, we examined how we could combine some of these additionalenhancing and inhibiting factors to predict individuals Hb status basedon their dietary iron intakes We assumed that 40% of iron from animalfood sources was heme iron and heme iron bioavailability was 23%Based on these results, our further analyses indicated that the bestpredictive model to estimate nonheme iron bioavailability was:             ESTIMATING DIETARY IRON BIOAVAILABILITY IN CHINA195Daily energy and iron intakes and prevalence of anemia for Chinese adults aged 18  60 y1TABLE 2% of the ChineseRDA2% of the US RDA3nEnergy IntakesTotalIron IntakesHemeNonhemekJUrban6465MaleFemale7840Subtotal 1430596841 6 938",energy,bean,,inhibit,1
